issuer,amount,coupon,maturity,bid,mid,ask,par yield (bid),par yield (mid),par yield (ask),ASW Spread (Mid),ISIN,ticker,series,BBG Composite,maturity type,currency,format
Swiss Confederation Government Bond,#N/A,0.0,26.07.2024,99.993429373986,99.993429373986,99.993429373986,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,CHF,SARON
Swiss Confederation Government Bond,3760645000,1.5,24.07.2025,100.55,#N/A,#N/A,0.982676478,#N/A,#N/A,#N/A,CH0184249990,SWISS,#N/A,NR,AT MATURITY,CHF,conventional
Swiss Confederation Government Bond,3803480000,1.25,28.05.2026,100.72,100.835,100.95,0.869910617,0.809634121,0.749462448,#N/A,CH0224396983,SWISS,#N/A,NR,AT MATURITY,CHF,conventional
Swiss Confederation Government Bond,3080515000,3.25,27.06.2027,107.21,107.395,107.58,0.807737312,0.748030487,0.688463417,#N/A,CH0031835561,SWISS,#N/A,NR,AT MATURITY,CHF,conventional
Swiss Confederation Government Bond,5612455000,4,08.04.2028,111.87,112.07,112.27,0.799306818,0.749281505,0.699372555,#N/A,CH0008680370,SWISS,#N/A,NR,AT MATURITY,CHF,conventional
Swiss Confederation Government Bond,4757278000,0,22.06.2029,96.23,96.47,96.71,0.773699128,0.723368017,0.673187009,#N/A,CH0224397346,SWISS,#N/A,NR,AT MATURITY,CHF,conventional
Swiss Confederation Government Bond,3733437000,0.5,27.05.2030,98.58,98.865,99.15,0.746206652,0.696454729,0.64687155,#N/A,CH0224397171,SWISS,#N/A,NR,AT MATURITY,CHF,conventional
Swiss Confederation Government Bond,3378465000,2.25,22.06.2031,110.33,110.655,110.98,0.728038599,0.682941479,0.638001723,#N/A,CH0127181029,SWISS,#N/A,NR,AT MATURITY,CHF,conventional
Swiss Confederation Government Bond,3326370000,0.5,27.06.2032,98.37,98.795,99.22,0.710316492,0.655099169,0.600151546,#N/A,CH0344958688,SWISS,#N/A,NR,AT MATURITY,CHF,conventional
Swiss Confederation Government Bond,4703860000,3.5,08.04.2033,123.97,124.405,124.84,0.67849327,0.633525582,0.588745771,#N/A,CH0015803239,SWISS,#N/A,NR,AT MATURITY,CHF,conventional
Swiss Confederation Government Bond,3244633000,0,26.06.2034,93.45,93.775,94.1,0.679925821,0.644968505,0.610144206,#N/A,CH0440081393,SWISS,#N/A,NR,AT MATURITY,CHF,conventional
Swiss Confederation Government Bond,297999000,0,26.06.2034,93.44,93.865,94.29,0.681003551,0.635311576,0.589846615,#N/A,CH0557779011,SWISS,10JU,#N/A,AT MATURITY,CHF,conventional
Swiss Confederation Government Bond,2394150000,0.25,23.06.2035,95.48,95.895,96.31,0.678234843,0.637996091,0.597948497,#N/A,CH0557778310,SWISS,#N/A,NR,AT MATURITY,CHF,conventional
Swiss Confederation Government Bond,4571740000,2.5,08.03.2036,120.63,121.135,121.64,0.661267509,0.620995543,0.580919104,#N/A,CH0024524966,SWISS,#N/A,NR,AT MATURITY,CHF,conventional
Swiss Confederation Government Bond,4054084000,1.25,27.06.2037,107.3,107.69,108.08,0.662092755,0.631963711,0.601957434,#N/A,CH0127181193,SWISS,#N/A,NR,AT MATURITY,CHF,conventional
Swiss Confederation Government Bond,1945000000,1.5,26.10.2038,111.35,111.795,112.24,0.666824411,0.636155745,0.605625252,#N/A,CH0440081567,SWISS,#N/A,NR,AT MATURITY,CHF,green
Swiss Confederation Government Bond,3153930000,0,24.07.2039,90.4,90.945,91.49,0.671738105,0.631606559,0.591730645,#N/A,CH0440081401,SWISS,#N/A,NR,AT MATURITY,CHF,conventional
Swiss Confederation Government Bond,4365965000,1.5,30.04.2042,113.68,114.405,115.13,0.682941276,0.642809684,0.602965789,#N/A,CH0127181169,SWISS,#N/A,NR,AT MATURITY,CHF,conventional
Swiss Confederation Government Bond,1778940000,1.25,28.06.2043,110.35,111.21,112.07,0.668215087,0.622664635,0.577508668,#N/A,CH0557778815,SWISS,#N/A,NR,AT MATURITY,CHF,conventional
Swiss Confederation Government Bond,204490000,1.25,28.06.2043,110.35,111.21,112.07,0.668215087,0.622664635,0.577508668,#N/A,CH0557779029,SWISS,19JU,#N/A,AT MATURITY,CHF,conventional
Swiss Confederation Government Bond,3940195000,0.5,28.06.2045,96.45,97.515,98.58,0.681994045,0.626644053,0.571944925,#N/A,CH0344958498,SWISS,#N/A,NR,AT MATURITY,CHF,conventional
Swiss Confederation Government Bond,648950000,0.875,22.05.2047,104.2,105.41,106.62,0.676414302,0.620849821,0.565987105,#N/A,CH0557779003,SWISS,#N/A,NR,AT MATURITY,CHF,conventional
Swiss Confederation Government Bond,2790820000,4,06.01.2049,175.35,176.96,178.57,0.661425558,0.611212898,0.561563008,#N/A,CH0009755197,SWISS,#N/A,NR,AT MATURITY,CHF,conventional
Swiss Confederation Government Bond,2713370000,0.5,24.05.2055,96.16,97.62,99.08,0.637264677,0.584385175,0.532356498,#N/A,CH0344958472,SWISS,#N/A,NR,AT MATURITY,CHF,conventional
Swiss Confederation Government Bond,2568450000,0.5,30.05.2058,96.42,98.1,99.78,0.617282305,0.56166457,0.507072225,#N/A,CH0224397338,SWISS,#N/A,NR,AT MATURITY,CHF,conventional
Swiss Confederation Government Bond,3408205000,2,25.06.2064,151.93,154.77,157.61,0.549982007,0.488960953,0.429277399,#N/A,CH0224397007,SWISS,#N/A,NR,AT MATURITY,CHF,conventional
